paso,velocidad,co2,fase,ttc
0,49.23,9278.12,0.0,999.0
1,49.02,3423.25,0.0,999.0
2,49.11,13799.62,0.0,999.0
3,49.04,6883.21,0.0,999.0
4,49.11,11893.2,0.0,999.0
5,48.95,4356.11,0.0,999.0
6,49.01,13108.22,0.0,999.0
7,48.97,7922.01,0.0,999.0
8,49.14,15661.0,0.0,999.0
9,48.99,3163.65,0.0,999.0
10,49.09,12917.58,0.0,999.0
11,49.14,9980.45,0.0,999.0
12,49.0,1724.71,0.0,999.0
13,48.92,5935.03,0.0,999.0
14,49.01,13080.38,0.0,999.0
15,49.11,13106.87,0.0,999.0
16,49.02,4838.1,0.0,999.0
17,49.05,9824.49,0.0,999.0
18,48.95,7732.47,0.0,999.0
19,49.12,16161.32,0.0,999.0
20,48.95,3630.09,0.0,999.0
21,48.93,8475.69,0.0,999.0
22,49.05,13625.6,0.0,999.0
23,48.94,5533.37,0.0,999.0
24,49.01,11787.01,0.0,999.0
25,49.03,8484.02,0.0,999.0
26,49.0,8625.88,0.0,999.0
27,49.06,11707.11,0.0,999.0
28,49.02,8123.38,0.0,999.0
29,49.04,10178.11,0.0,999.0
30,49.12,11172.45,0.0,999.0
31,49.0,3972.56,0.0,999.0
32,48.93,4556.25,0.0,999.0
33,49.01,12507.71,0.0,999.0
34,48.92,4872.88,0.0,999.0
35,48.98,11860.17,0.0,999.0
36,49.0,8869.53,0.0,999.0
37,49.1,13343.33,0.0,999.0
38,48.97,5767.03,0.0,999.0
39,48.98,8969.21,0.0,999.0
40,48.97,6628.71,0.0,999.0
41,48.96,7832.65,0.0,999.0
42,49.03,11159.18,0.0,999.0
43,49.03,8657.13,0.0,999.0
44,49.03,9261.99,0.0,999.0
45,49.28,14492.85,0.0,999.0
46,49.19,8002.13,0.0,999.0
47,49.14,10546.98,0.0,467.0
48,49.21,14042.78,0.0,999.0
49,49.09,4353.7,0.0,999.0
50,49.2,16841.07,0.0,999.0
51,49.27,15400.92,0.0,999.0
52,49.17,6110.91,0.0,999.0
53,49.32,19184.07,0.0,999.0
54,49.17,4581.5,0.0,999.0
55,49.25,14518.45,0.0,999.0
56,49.16,6620.65,0.0,999.0
57,49.13,8823.75,0.0,999.0
58,49.15,10515.71,0.0,999.0
59,49.17,11777.66,0.0,999.0
60,49.16,11230.76,0.0,999.0
61,49.19,13027.82,0.0,999.0
62,49.14,7766.92,0.0,591.3
63,49.22,15382.67,0.0,668.13
64,49.21,9512.2,0.0,883.26
65,49.2,11714.8,0.0,999.0
66,49.2,8740.2,0.0,621.68
67,49.11,6966.66,0.0,999.0
68,49.25,18309.95,0.0,999.0
69,49.15,8430.11,0.0,626.75
70,49.04,5120.41,0.0,607.22
71,49.24,21366.91,0.0,999.0
72,49.14,5230.26,0.0,460.09
73,49.22,17408.85,0.0,999.0
74,49.15,9311.49,0.0,999.0
75,49.18,12642.63,0.0,999.0
76,49.19,10893.58,0.0,999.0
77,49.08,7553.94,0.0,999.0
78,49.18,17041.4,0.0,999.0
79,49.2,10628.82,0.0,999.0
80,49.28,15466.77,0.0,854.53
81,49.22,9173.09,0.0,999.0
82,49.18,9705.54,0.0,999.0
83,49.1,7619.01,0.0,999.0
84,49.22,16934.79,0.0,999.0
85,49.18,10042.32,0.0,999.0
86,49.11,8205.53,0.0,999.0
87,49.13,12946.89,0.0,999.0
88,49.01,9362.15,0.0,375.3
89,48.63,12165.73,0.0,72.12
90,47.48,10454.9,0.0,41.97
91,47.09,9252.56,0.0,28.09
92,46.86,19152.07,0.0,21.14
93,46.47,6912.25,0.0,17.34
94,46.21,16265.2,0.0,14.28
95,45.89,11458.82,0.0,12.26
96,45.21,6828.64,0.0,10.76
97,44.65,12199.14,0.0,9.44
98,44.08,14569.93,0.0,8.36
99,43.48,12540.87,0.0,7.54
100,42.79,6016.7,0.0,6.77
101,42.22,12795.69,0.0,6.18
102,41.63,12267.28,0.0,5.67
103,40.98,9988.65,0.0,5.18
104,40.41,14404.62,0.0,4.79
105,39.75,7977.47,0.0,4.41
106,39.16,11370.93,0.0,4.05
107,38.51,7250.01,0.0,3.76
108,37.91,13220.31,0.0,3.47
109,37.24,10682.39,0.0,3.21
110,36.66,11274.59,0.0,2.95
111,36.1,14962.53,0.0,2.76
112,35.79,14045.43,0.0,2.63
113,35.5,17019.46,0.0,2.55
114,35.1,9760.25,0.0,2.44
115,34.9,20617.41,0.0,2.33
116,34.51,9150.32,0.0,2.24
117,34.32,18802.99,0.0,2.15
118,34.41,23030.39,0.0,2.05
119,34.34,14993.59,0.0,1.94
120,35.55,16873.56,0.0,1.85
121,35.53,17456.33,0.0,1.75
122,35.64,27761.86,0.0,1.64
123,35.65,20269.72,0.0,1.55
124,35.41,7353.9,0.0,1.48
125,35.12,9917.14,0.0,1.44
126,34.91,20274.79,0.0,1.4
127,34.73,20443.5,0.0,1.36
128,34.51,17340.05,0.0,1.32
129,34.25,11207.92,0.0,1.28
130,34.13,25275.74,0.0,1.24
131,33.82,7963.51,0.0,1.2
132,33.6,12794.3,0.0,1.16
133,33.35,16320.58,0.0,1.13
134,33.17,15521.6,0.0,1.08
135,34.55,21948.94,0.0,1.03
136,34.38,20293.43,0.0,0.99
137,34.14,17404.59,0.0,0.97
138,33.95,17915.26,0.0,0.93
139,33.81,20165.85,0.0,0.88
140,33.63,17582.54,0.0,0.85
141,28.75,12612.42,0.0,0.82
142,28.56,15094.98,0.0,0.79
143,28.4,18198.98,0.0,0.76
144,28.16,10711.01,0.0,0.73
145,28.08,19265.01,0.0,0.68
146,27.8,7113.09,0.0,0.66
147,27.59,14813.03,0.0,0.64
148,27.46,17399.44,0.0,0.62
149,27.2,10487.65,0.0,0.6
150,27.16,19406.98,0.0,0.56
151,26.98,9945.41,0.0,0.53
152,26.94,20682.59,0.0,0.51
153,26.77,10960.54,0.0,0.5
154,26.63,10545.6,0.0,0.48
155,26.56,16520.94,0.0,0.48
156,26.51,14734.76,0.0,0.44
157,26.45,14317.53,0.0,0.43
158,26.29,9958.64,0.0,0.44
159,26.25,14373.09,0.0,0.41
160,26.19,14850.71,0.0,0.42
161,26.11,14085.63,0.0,0.42
162,26.14,21016.96,0.0,0.42
163,26.13,17835.98,0.0,0.41
164,26.09,17295.23,0.0,0.42
165,26.08,17237.52,0.0,0.43
166,26.01,12965.42,0.0,0.41
167,26.04,18938.64,0.0,0.44
168,26.04,17445.58,0.0,0.42
169,25.82,12697.89,0.0,0.44
170,25.58,15955.19,0.0,0.44
171,25.32,15849.92,0.0,0.44
172,25.07,13042.44,0.0,0.45
173,24.83,16751.58,0.0,0.46
174,24.55,14217.03,0.0,0.45
175,24.29,13033.66,0.0,0.46
176,23.99,12502.73,0.0,0.48
177,23.82,17013.68,0.0,0.52
178,23.54,14364.65,0.0,0.54
179,23.23,9991.63,0.0,0.56
180,28.26,22076.25,0.0,0.58
181,27.98,13436.29,0.0,0.64
182,27.85,21453.71,0.0,0.67
183,27.6,16901.11,0.0,0.74
184,27.24,16537.16,0.0,0.82
185,26.85,13840.29,0.0,0.86
186,26.51,21625.47,0.0,0.83
187,26.15,13487.91,0.0,0.8
188,25.76,15260.99,0.0,0.77
189,25.54,20700.74,0.0,0.72
190,25.15,16638.0,0.0,0.71
191,24.79,10939.23,0.0,0.67
192,24.5,17898.74,0.0,0.63
193,24.16,14487.26,0.0,0.61
194,23.82,12286.97,0.0,0.59
195,23.64,26508.96,0.0,0.56
196,23.31,9762.13,0.0,0.55
197,23.09,21997.09,0.0,0.51
198,22.85,12082.27,0.0,0.49
199,22.59,17305.39,0.0,0.47
200,22.31,11888.09,0.0,0.47
201,22.16,19098.0,0.0,0.45
202,21.94,13494.28,0.0,0.44
203,21.72,13648.53,0.0,0.44
204,21.54,17594.9,0.0,0.41
205,21.4,17718.37,0.0,0.42
206,21.23,20681.71,0.0,0.41
207,21.11,16841.36,0.0,0.41
208,21.03,22874.33,0.0,0.41
209,20.79,19123.23,0.0,0.42
210,20.46,11989.97,0.0,0.43
211,20.24,21464.69,0.0,0.43
212,19.97,15589.24,0.0,0.42
213,19.74,21113.17,0.0,0.42
214,19.48,13744.75,0.0,0.43
215,19.27,20488.67,0.0,0.42
216,19.0,15532.93,0.0,0.41
217,18.8,17581.25,0.0,0.42
218,18.62,20286.16,0.0,0.42
219,18.46,22405.06,0.0,0.43
220,18.29,19946.06,0.0,0.43
221,18.07,18785.77,0.0,0.42
222,17.85,16619.38,0.0,0.43
223,17.71,21887.16,0.0,0.44
224,17.49,18784.65,0.0,0.42
225,20.63,22556.84,0.0,0.43
226,20.42,21704.88,0.0,0.43
227,20.27,21064.08,0.0,0.45
228,20.14,19810.38,0.0,0.45
229,20.0,25174.32,0.0,0.47
230,19.87,19579.68,0.0,0.48
231,19.75,22075.56,0.0,0.48
232,19.64,22687.88,0.0,0.5
233,19.52,23846.43,0.0,0.53
