paso,velocidad,co2,fase,ttc
0,49.02,3423.25,0.0,999.0
1,49.11,13799.62,0.0,999.0
2,49.04,6883.21,0.0,999.0
3,49.11,11893.2,0.0,999.0
4,48.95,4356.11,0.0,999.0
5,49.01,13108.22,0.0,999.0
6,48.97,7922.01,0.0,999.0
7,49.14,15661.0,0.0,999.0
8,48.99,3163.65,0.0,999.0
9,49.09,12917.58,0.0,999.0
10,49.14,9980.45,0.0,999.0
11,49.0,1724.71,0.0,999.0
12,48.92,5935.03,0.0,999.0
13,49.01,13080.38,0.0,999.0
14,49.11,13106.87,0.0,999.0
15,49.02,4838.1,0.0,999.0
16,49.05,9824.49,0.0,999.0
17,48.95,7732.47,0.0,999.0
18,49.12,16161.32,0.0,999.0
19,48.95,3630.09,0.0,999.0
20,48.93,8475.69,0.0,999.0
21,49.05,13625.6,0.0,999.0
22,48.94,5533.37,0.0,999.0
23,49.01,11787.01,0.0,999.0
24,49.03,8484.02,0.0,999.0
25,49.0,8625.88,0.0,999.0
26,49.06,11707.11,0.0,999.0
27,49.02,8123.38,0.0,999.0
28,49.04,10178.11,0.0,999.0
29,49.12,11172.45,0.0,999.0
30,49.0,3972.56,0.0,999.0
31,48.93,4556.25,0.0,999.0
32,49.01,12507.71,0.0,999.0
33,48.92,4872.88,0.0,999.0
34,48.98,11860.17,0.0,999.0
35,49.0,8869.53,0.0,999.0
36,49.1,13343.33,0.0,999.0
37,48.97,5767.03,0.0,999.0
38,48.98,8969.21,0.0,999.0
39,48.97,6628.71,0.0,999.0
40,48.96,7832.65,0.0,999.0
41,49.03,11159.18,0.0,999.0
42,49.03,8657.13,0.0,999.0
43,49.03,9261.99,0.0,999.0
44,49.28,14492.85,0.0,999.0
45,49.19,8002.13,0.0,999.0
46,49.14,10546.98,0.0,467.0
47,49.21,14042.78,0.0,999.0
48,49.09,4353.7,0.0,999.0
49,49.2,16841.07,0.0,999.0
50,49.27,15400.92,0.0,999.0
51,49.17,6110.91,0.0,999.0
52,49.32,19184.07,0.0,999.0
53,49.17,4581.5,0.0,999.0
54,49.25,14518.45,0.0,999.0
55,49.16,6620.65,0.0,999.0
56,49.13,8823.75,0.0,999.0
57,49.15,10515.71,0.0,999.0
58,49.17,11777.66,0.0,999.0
59,49.16,11230.76,0.0,999.0
60,49.19,13027.82,1.0,999.0
61,49.25,13723.87,1.0,591.3
62,49.25,11552.49,1.0,668.13
63,49.21,7896.28,1.0,883.26
64,49.2,11714.8,1.0,999.0
65,49.2,8740.2,1.0,621.68
66,49.11,6966.66,1.0,999.0
67,49.25,18309.95,1.0,999.0
68,49.15,8430.11,1.0,626.95
69,49.04,5120.41,1.0,607.42
70,49.24,21366.91,1.0,999.0
71,49.14,5230.26,1.0,460.09
72,49.22,17408.85,1.0,999.0
73,49.15,9311.49,1.0,999.0
74,49.18,12642.63,1.0,999.0
75,49.19,10893.58,1.0,999.0
76,49.08,7553.94,1.0,999.0
77,49.18,17041.4,1.0,999.0
78,49.2,10628.82,1.0,999.0
79,49.28,15466.77,1.0,854.53
80,49.22,9173.09,1.0,999.0
81,49.18,9705.54,1.0,999.0
82,49.1,7619.01,1.0,999.0
83,49.22,16934.79,1.0,999.0
84,49.18,10042.32,1.0,999.0
85,49.11,8205.53,1.0,999.0
86,49.13,12946.89,1.0,999.0
87,49.01,9362.15,1.0,375.3
88,48.63,12165.73,1.0,72.12
89,47.48,10454.9,1.0,41.97
90,47.09,9252.56,1.0,28.09
91,47.29,28661.24,2.0,31.35
92,47.29,14296.38,2.0,35.78
93,47.46,26009.29,2.0,40.87
94,47.57,21468.51,2.0,50.46
95,47.63,19398.84,2.0,68.61
96,47.75,23574.36,2.0,78.98
97,47.89,26143.84,2.0,101.46
98,47.94,19807.01,2.0,118.38
99,47.99,19083.5,2.0,131.22
100,48.12,21917.68,2.0,124.0
101,48.13,15302.26,2.0,133.28
102,48.19,20236.13,2.0,143.1
103,48.13,11033.39,2.0,128.62
104,48.08,10347.3,2.0,120.77
105,48.13,16502.28,2.0,120.17
106,48.11,14192.66,2.0,136.9
107,48.11,17028.89,2.0,111.78
108,48.17,21530.68,2.0,125.87
109,48.12,12707.46,2.0,127.91
110,48.09,13327.08,2.0,142.56
111,48.09,13478.84,3.0,123.13
112,48.07,16015.96,3.0,142.19
113,48.07,16535.99,3.0,120.92
114,48.07,13355.55,3.0,123.08
115,48.06,13849.55,3.0,122.55
116,48.12,20600.92,3.0,125.05
117,48.19,20201.15,3.0,140.96
118,48.13,12869.37,3.0,120.41
119,47.64,17506.35,3.0,128.69
120,47.63,15511.91,3.0,143.77
121,47.74,25980.52,3.0,120.32
122,47.69,13608.26,3.0,131.12
123,47.59,7966.06,3.0,127.02
124,47.52,10563.54,3.0,124.42
125,47.63,26908.76,3.0,116.29
126,47.63,17807.95,3.0,125.04
127,47.71,23430.2,3.0,128.24
128,47.6,9998.72,3.0,109.63
129,47.7,25731.64,3.0,126.27
130,47.61,11721.51,3.0,114.54
131,47.59,14646.36,3.0,124.37
132,47.52,15133.77,3.0,131.59
133,47.27,17256.73,3.0,129.6
134,47.02,21881.82,3.0,29.37
135,46.86,23636.42,3.0,28.61
136,46.53,10105.7,3.0,29.96
137,46.16,7537.43,3.0,30.36
138,46.06,29434.5,3.0,31.51
139,45.84,18463.72,3.0,30.44
140,44.32,7927.67,3.0,25.16
141,44.04,15271.57,3.0,20.4
142,43.73,12332.91,0.0,17.01
143,43.41,12204.68,0.0,14.42
144,43.16,16998.55,0.0,12.59
145,42.78,8409.26,0.0,11.15
146,42.52,16678.47,0.0,10.05
147,42.06,5788.03,0.0,9.08
148,41.94,25298.76,0.0,8.12
149,41.57,9689.59,0.0,7.51
150,41.31,16512.85,0.0,6.87
151,40.95,10658.8,0.0,6.3
152,40.64,11631.3,0.0,5.83
153,40.34,13505.99,0.0,5.39
154,40.08,15318.53,0.0,5.0
155,39.89,21940.15,0.0,4.66
156,39.78,9333.71,0.0,4.56
157,39.78,15397.52,0.0,4.46
158,39.79,16457.47,0.0,4.34
159,39.85,18271.95,0.0,4.25
160,39.75,10662.21,0.0,4.14
161,39.79,16272.98,0.0,4.06
162,39.78,14273.5,1.0,3.94
163,39.78,15484.82,1.0,3.85
164,39.77,16268.74,1.0,3.77
165,39.81,17857.88,1.0,3.65
166,39.83,14880.78,1.0,3.54
167,39.76,12349.05,1.0,3.46
168,39.81,20072.28,1.0,3.34
169,39.76,11206.13,1.0,3.26
170,39.78,18607.53,1.0,3.14
171,39.78,16431.6,1.0,3.05
172,39.81,17639.3,1.0,2.94
173,39.82,16756.98,1.0,2.84
174,39.76,12372.73,1.0,2.75
175,39.74,13713.77,1.0,2.64
176,39.68,13151.2,1.0,2.56
177,39.73,21665.21,1.0,2.44
178,39.32,5541.33,1.0,2.36
179,40.78,28812.04,1.0,2.25
180,40.41,8212.18,1.0,2.15
181,39.97,17118.74,1.0,2.05
182,39.53,17324.1,1.0,1.94
183,38.97,9045.09,1.0,1.86
184,38.52,15987.58,1.0,1.75
185,38.02,14827.77,1.0,1.65
186,37.59,18636.0,1.0,1.55
187,37.11,16468.7,1.0,1.45
188,36.61,13597.08,1.0,1.36
189,36.01,11407.25,1.0,1.29
190,35.37,16563.4,1.0,1.25
191,34.66,6837.21,1.0,1.21
192,34.04,18452.71,1.0,1.16
193,33.76,18553.76,2.0,1.17
194,33.51,16839.63,2.0,1.16
195,33.26,19290.02,2.0,1.17
196,33.08,21383.25,2.0,1.16
197,32.74,14729.63,2.0,1.19
198,32.52,20425.44,2.0,1.21
199,32.37,23608.92,2.0,1.24
200,32.12,15382.37,2.0,1.25
201,32.02,23630.12,2.0,1.3
202,32.11,25199.2,2.0,1.33
203,32.11,19672.46,2.0,1.46
204,32.31,30111.04,2.0,1.52
205,32.36,19593.42,2.0,1.68
206,32.47,19258.92,2.0,1.81
207,32.67,31596.57,2.0,2.06
208,32.8,26432.37,2.0,2.27
209,32.87,20978.36,2.0,2.47
210,33.06,29520.41,2.0,2.95
211,33.09,20100.42,2.0,2.86
212,33.29,30618.2,2.0,2.76
213,33.48,29803.07,3.0,2.66
214,31.67,31142.05,3.0,2.61
215,31.81,22319.29,3.0,2.47
216,31.96,22561.52,3.0,2.39
217,32.17,26214.5,3.0,2.32
218,32.41,27697.85,3.0,2.29
219,32.58,26213.91,3.0,2.31
220,32.48,27415.69,3.0,2.11
221,32.1,19486.37,3.0,1.99
222,31.74,20029.67,3.0,1.87
223,31.48,24678.73,3.0,1.74
224,33.23,24932.49,3.0,1.62
225,32.88,17532.16,3.0,1.51
226,32.67,28283.41,3.0,1.37
227,30.73,29225.17,3.0,1.26
228,30.36,19121.83,3.0,1.14
229,30.03,21726.54,3.0,1.06
230,30.09,30869.77,3.0,1.01
231,30.17,33251.56,3.0,0.97
232,30.09,21541.95,3.0,0.93
233,30.03,23442.05,3.0,0.9
234,29.97,25866.21,3.0,0.86
235,29.96,29042.26,3.0,0.84
236,29.87,19783.32,3.0,0.8
237,29.9,30846.24,3.0,0.77
238,29.89,28039.53,3.0,0.74
239,33.94,32621.99,3.0,0.7
240,33.81,20319.95,3.0,0.68
241,33.79,28222.01,3.0,0.65
242,33.73,24866.69,3.0,0.62
243,33.69,27956.64,3.0,0.6
244,33.69,20480.83,0.0,0.57
245,33.78,31930.32,0.0,0.56
246,33.84,24430.61,0.0,0.53
247,33.91,27625.78,0.0,0.52
248,33.98,25003.35,0.0,0.5
249,34.11,28581.06,0.0,0.46
250,34.15,24848.75,0.0,0.47
251,34.21,22771.92,0.0,0.44
252,34.33,32578.78,0.0,0.43
253,34.43,25976.66,0.0,0.42
254,34.53,27924.03,0.0,0.43
255,34.6,29586.65,0.0,0.41
256,34.84,43007.99,0.0,0.41
257,34.86,21634.07,0.0,0.42
258,35.04,36369.89,0.0,0.41
259,35.11,26903.09,0.0,0.41
260,35.26,33330.53,0.0,0.41
261,35.34,29405.29,0.0,0.41
262,35.46,31795.42,0.0,0.42
263,35.55,28084.95,0.0,0.43
264,35.64,27994.28,1.0,0.43
265,35.68,23284.88,1.0,0.44
266,35.76,24720.89,1.0,0.43
267,35.77,23577.64,1.0,0.45
268,35.65,23110.43,1.0,0.46
269,37.51,28380.62,1.0,0.47
270,37.17,15973.3,1.0,0.5
271,36.87,25747.4,1.0,0.49
272,36.71,38825.54,1.0,0.52
273,36.37,17088.56,1.0,0.54
274,36.13,25109.9,1.0,0.58
275,35.84,24215.59,1.0,0.61
276,35.6,29627.77,1.0,0.65
277,35.4,31309.53,1.0,0.76
278,35.03,19351.91,1.0,0.79
279,34.76,22927.83,1.0,0.91
280,34.62,38202.16,1.0,0.89
281,34.28,17220.77,1.0,0.86
282,34.08,32964.17,1.0,0.83
283,33.83,27097.02,1.0,0.79
284,33.58,25002.72,1.0,0.75
285,33.34,29757.32,1.0,0.73
286,33.08,22557.55,1.0,0.7
287,32.87,31569.12,1.0,0.67
288,32.59,22161.44,1.0,0.64
289,32.4,32359.94,1.0,0.62
290,32.18,28550.85,1.0,0.59
291,31.98,30011.82,1.0,0.58
292,31.44,18841.65,1.0,0.54
293,30.92,24931.8,1.0,0.53
294,30.39,21557.92,1.0,0.5
295,30.07,30140.33,2.0,0.48
296,29.69,18082.63,2.0,0.5
297,29.4,26352.11,2.0,0.53
298,29.06,23690.71,2.0,0.71
299,28.82,26431.63,2.0,1.29
300,28.59,33019.91,2.0,1.26
301,28.32,19922.98,2.0,1.22
302,28.1,30999.58,2.0,1.2
303,27.91,30647.68,2.0,0.0
304,27.73,30652.15,2.0,0.0
305,27.5,30022.61,2.0,0.0
306,27.34,32841.62,2.0,0.0
307,27.05,24890.81,2.0,0.0
308,26.84,26215.4,2.0,0.0
309,26.53,20388.13,2.0,1.21
310,26.34,27104.36,2.0,1.23
311,26.17,29274.0,2.0,1.29
312,25.94,21145.93,2.0,1.35
313,25.67,28614.08,2.0,1.45
314,27.03,35718.46,2.0,1.53
315,27.24,38834.43,3.0,1.59
316,27.34,31567.46,3.0,1.75
317,27.59,45007.24,3.0,1.92
318,27.72,30217.23,3.0,2.39
319,27.93,37892.52,3.0,2.8
320,28.13,39969.13,3.0,3.11
321,28.37,42378.49,3.0,3.93
322,28.46,39240.41,3.0,3.89
323,26.53,22065.18,3.0,3.73
324,26.41,32055.17,3.0,2.49
325,26.18,29621.13,3.0,2.26
326,25.92,25685.03,3.0,1.47
327,25.74,29875.97,3.0,1.04
328,25.45,21500.03,3.0,0.79
329,25.32,36462.97,3.0,0.56
330,25.26,31415.37,3.0,0.51
331,25.2,24610.75,3.0,0.51
332,25.15,25557.8,3.0,0.47
333,25.19,37633.06,3.0,0.46
334,25.15,27950.02,3.0,0.45
335,25.17,31834.22,3.0,0.43
336,25.17,27427.98,3.0,0.43
337,25.06,24487.97,3.0,0.42
338,25.0,33088.91,3.0,0.42
339,24.97,40911.19,3.0,0.41
340,24.83,28183.74,3.0,0.42
341,22.47,28939.65,3.0,0.42
342,22.36,29114.63,3.0,0.42
343,22.31,33062.81,3.0,0.42
344,22.24,32280.81,3.0,0.42
345,22.21,32485.76,3.0,0.43
346,22.33,32848.73,0.0,0.42
347,22.44,33224.7,0.0,0.42
348,22.53,33650.2,0.0,0.44
349,22.64,34954.85,0.0,0.43
350,22.75,37732.8,0.0,0.44
351,22.9,38741.72,0.0,0.45
352,22.97,34589.0,0.0,0.46
353,23.03,32464.12,0.0,0.49
354,23.05,30014.04,0.0,0.48
355,23.09,28465.34,0.0,0.5
356,23.17,35717.22,0.0,0.49
357,23.12,26764.96,0.0,0.5
358,23.14,29274.54,0.0,0.47
359,28.5,37108.61,0.0,0.49
360,28.58,41601.34,0.0,0.49
361,28.59,35945.94,0.0,0.51
362,28.65,37736.45,0.0,0.49
363,27.52,33984.87,0.0,0.51
364,27.62,44313.18,0.0,0.53
365,27.71,39545.97,0.0,0.47
366,27.62,25974.62,1.0,0.4
367,27.49,28533.01,1.0,0.34
368,27.37,30580.57,1.0,0.27
369,27.24,28674.49,1.0,0.21
370,27.08,28083.4,1.0,0.14
371,27.03,36456.68,1.0,0.07
372,26.94,33170.29,1.0,0.0
373,26.82,29304.79,1.0,0.0
374,26.66,27407.07,1.0,0.0
