Paso,Semaforo_ID,Estado_Luces,Coche_ID,Pos_X,Pos_Y,Velocidad_kmh,Angulo_Grados,CO2_mg_s,Combustible_ml_s,TTC_s
0,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,38.14,0.0,180.0,1521.0,493.1,999.0
1,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,56.22,7.33,0.0,269.88,1521.0,493.1,999.0
1,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,37.72,1.53,180.0,1846.31,598.54,999.0
2,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,55.5,7.33,2.57,269.88,2097.54,679.98,999.0
2,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,36.52,4.32,180.0,2205.53,714.99,999.0
3,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,54.03,7.32,5.3,269.88,2224.57,721.16,999.0
3,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,34.6,6.92,180.0,2247.33,728.54,999.0
4,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,52.03,7.32,7.21,269.88,2070.78,671.31,999.0
4,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,31.99,9.37,180.0,2287.16,741.46,999.0
4,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-60.93,4.13,0.0,90.15,1521.0,493.1,999.0
5,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,49.47,7.32,9.2,269.88,2145.31,695.48,999.0
5,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,28.97,10.88,180.0,2045.64,663.17,999.0
5,J4,GGgrrrGGgrrr,trafico_Norte_Sur.1,-9.69,38.14,0.0,180.0,1521.0,493.1,999.0
5,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-60.42,4.13,1.84,90.15,1920.44,622.57,999.0
6,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,46.4,7.31,11.07,269.88,2161.41,700.7,999.0
6,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,25.23,13.47,180.0,2475.18,802.41,999.0
6,J4,GGgrrrGGgrrr,trafico_Norte_Sur.1,-9.69,37.62,1.88,180.0,1929.67,625.56,999.0
6,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-59.18,4.12,4.46,90.15,2169.6,703.34,999.0
7,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,42.63,7.3,13.58,269.88,2454.14,795.59,999.0
7,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,20.87,15.68,180.0,2422.59,785.37,999.0
7,J4,GGgrrrGGgrrr,trafico_Norte_Sur.1,-9.69,36.56,3.82,180.0,1989.44,644.94,999.0
7,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-57.14,4.12,7.32,90.15,2330.22,755.41,999.0
8,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,38.4,7.29,15.22,269.88,2196.78,712.17,999.0
8,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,15.73,18.5,180.0,2765.57,896.55,999.0
8,J4,GGgrrrGGgrrr,trafico_Norte_Sur.1,-9.69,34.82,6.26,180.0,2184.07,708.03,999.0
8,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-54.36,4.11,10.01,90.15,2382.34,772.31,999.0
8,J4,GGgrrrGGgrrr,trafico_Sur_Norte.0,-6.62,-37.55,0.0,0.17,1521.0,493.1,999.0
9,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,33.49,7.28,17.67,269.88,2585.32,838.12,999.0
9,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.69,10.01,20.61,180.04,2548.59,826.22,999.0
9,J4,GGgrrrGGgrrr,trafico_Norte_Sur.1,-9.69,32.55,8.16,180.0,2092.61,678.39,999.0
9,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-50.82,4.1,12.74,90.15,2495.18,808.9,999.0
9,J4,GGgrrrGGgrrr,trafico_Oeste_Este.1,-60.93,4.13,0.0,90.15,1521.0,493.1,999.0
9,J4,GGgrrrGGgrrr,trafico_Sur_Norte.0,-6.61,-36.78,2.79,0.17,2154.05,698.3,999.0
10,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,28.12,7.27,19.32,269.88,2311.44,749.34,999.0
10,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.7,3.48,23.48,180.08,3018.51,978.56,999.0
10,J4,GGgrrrGGgrrr,trafico_Norte_Sur.1,-9.69,29.56,10.76,180.0,2379.74,771.47,999.0
10,J4,GGgrrrGGgrrr,trafico_Norte_Sur.2,-9.69,38.14,0.0,180.0,1521.0,493.1,999.0
10,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-46.86,4.09,14.28,90.15,2137.61,692.99,999.0
10,J4,GGgrrrGGgrrr,trafico_Oeste_Este.1,-60.21,4.13,2.6,90.15,2103.82,682.01,999.0
10,J4,GGgrrrGGgrrr,trafico_Sur_Norte.0,-6.61,-35.5,4.6,0.17,1977.03,640.92,999.0
11,J4,GGgrrrGGgrrr,trafico_Este_Oeste.0,22.08,7.26,21.75,269.88,2736.5,887.14,999.0
11,J4,GGgrrrGGgrrr,trafico_Norte_Sur.0,-9.72,-3.72,25.92,180.12,2911.91,944.0,999.0
11,J4,GGgrrrGGgrrr,trafico_Norte_Sur.1,-9.69,25.9,13.19,180.0,2410.36,781.4,999.0
11,J4,GGgrrrGGgrrr,trafico_Norte_Sur.2,-9.69,37.46,2.45,180.0,2066.13,669.8,999.0
11,J4,GGgrrrGGgrrr,trafico_Oeste_Este.0,-42.11,4.08,17.08,90.15,2694.43,873.49,999.0
11,J4,GGgrrrGGgrrr,trafico_Oeste_Este.1,-58.86,4.12,4.87,90.15,2097.89,680.1,999.0
