Paso,Semaforo_ID,Estado_Luces,Coche_ID,Pos_X,Pos_Y,Velocidad_kmh,Angulo_Grados,CO2_mg_s,Combustible_ml_s,TTC_s
0,J4,GGgrrrGGgrrr,f1.0,-60.93,4.13,50.0,90.15,2058.86,667.46,999.0
0,J4,GGgrrrGGgrrr,f2.0,56.22,7.33,46.92,269.88,1989.61,645.02,999.0
0,J4,GGgrrrGGgrrr,f3.0,-9.69,38.14,50.0,180.0,2058.86,667.46,999.0
0,J4,GGgrrrGGgrrr,f4.0,-6.62,-37.55,50.0,0.17,2058.86,667.46,999.0
1,J4,GGgrrrGGgrrr,f1.0,-59.55,4.12,49.68,90.15,0.0,0.0,999.0
1,J4,GGgrrrGGgrrr,f2.0,54.92,7.33,46.82,269.88,1184.25,383.93,999.0
1,J4,GGgrrrGGgrrr,f3.0,-9.69,36.76,49.58,180.0,0.0,0.0,999.0
1,J4,GGgrrrGGgrrr,f4.0,-6.61,-36.16,49.98,0.17,1819.59,589.9,999.0
2,J4,GGgrrrGGgrrr,f1.0,-58.16,4.12,49.92,90.15,4202.97,1362.54,999.0
2,J4,GGgrrrGGgrrr,f2.0,53.62,7.32,46.87,269.88,2397.2,777.15,999.0
2,J4,GGgrrrGGgrrr,f3.0,-9.69,35.37,49.98,180.0,5565.49,1804.25,999.0
2,J4,GGgrrrGGgrrr,f4.0,-6.61,-34.78,49.67,0.17,0.0,0.0,999.0
3,J4,GGgrrrGGgrrr,f1.0,-56.77,4.12,50.0,90.15,2717.25,880.9,999.0
3,J4,GGgrrrGGgrrr,f2.0,52.32,7.32,46.62,269.88,0.0,0.0,999.0
3,J4,GGgrrrGGgrrr,f3.0,-9.69,33.99,49.92,180.0,1535.06,497.66,999.0
3,J4,GGgrrrGGgrrr,f4.0,-6.6,-33.41,49.64,0.17,1810.43,586.93,999.0
4,J4,GGgrrrGGgrrr,f1.0,-55.39,4.11,49.95,90.15,1603.68,519.9,999.0
4,J4,GGgrrrGGgrrr,f2.0,51.03,7.32,46.64,269.88,2173.72,704.7,999.0
4,J4,GGgrrrGGgrrr,f3.0,-9.69,32.6,49.87,180.0,1635.29,530.15,999.0
4,J4,GGgrrrGGgrrr,f4.0,-6.6,-32.02,49.98,0.17,5062.41,1641.16,999.0
5,J4,GGgrrrGGgrrr,f1.0,-54.0,4.11,49.96,90.15,2148.68,696.59,999.0
5,J4,GGgrrrGGgrrr,f2.0,49.73,7.32,46.6,269.88,1679.17,544.38,999.0
5,J4,GGgrrrGGgrrr,f3.0,-9.69,31.23,49.58,180.0,0.0,0.0,999.0
5,J4,GGgrrrGGgrrr,f4.0,-6.59,-30.64,49.66,0.17,0.0,0.0,999.0
6,J4,GGgrrrGGgrrr,f1.0,-52.62,4.11,49.59,90.15,0.0,0.0,999.0
6,J4,GGgrrrGGgrrr,f2.0,48.43,7.31,46.8,269.88,3662.59,1187.36,999.0
6,J4,GGgrrrGGgrrr,f3.0,-9.69,29.84,49.91,180.0,5022.67,1628.28,999.0
6,J4,GGgrrrGGgrrr,f4.0,-6.59,-29.26,49.75,0.17,2871.13,930.79,999.0
7,J4,GGgrrrGGgrrr,f1.0,-51.24,4.1,49.92,90.15,4969.31,1610.98,999.0
7,J4,GGgrrrGGgrrr,f2.0,47.14,7.31,46.53,269.88,0.0,0.0,999.0
7,J4,GGgrrrGGgrrr,f3.0,-9.69,28.46,49.69,180.0,0.0,0.0,999.0
7,J4,GGgrrrGGgrrr,f4.0,-6.59,-27.87,49.75,0.17,2016.66,653.79,999.0
8,J4,GGgrrrGGgrrr,f1.0,-49.85,4.1,49.98,90.15,2602.74,843.78,999.0
8,J4,GGgrrrGGgrrr,f2.0,45.84,7.31,46.79,269.88,4096.9,1328.16,999.0
8,J4,GGgrrrGGgrrr,f3.0,-9.69,27.08,49.8,180.0,2975.62,964.66,999.0
8,J4,GGgrrrGGgrrr,f4.0,-6.58,-26.49,49.98,0.17,4131.36,1339.33,999.0
9,J4,GGgrrrGGgrrr,f1.0,-48.46,4.09,49.81,90.15,0.0,0.0,999.0
9,J4,GGgrrrGGgrrr,f2.0,44.54,7.3,46.53,269.88,0.0,0.0,999.0
9,J4,GGgrrrGGgrrr,f3.0,-9.69,25.69,49.71,180.0,1278.91,414.62,999.0
9,J4,GGgrrrGGgrrr,f4.0,-6.58,-25.1,49.92,0.17,1503.92,487.56,999.0
10,J4,GGgrrrGGgrrr,f1.0,-47.08,4.09,49.9,90.15,2856.58,926.07,999.0
